fixation id,frame,x,y,duration [ms]
594,4631,803.998,286.694,85
595,4633,770.918,352.029,491
596,4649,981.695,255.996,180
597,4654,966.381,280.835,320
598,4664,866.223,516.42,135
599,4668,803.219,386.978,145
600,4673,797.886,369.209,130
601,4678,600.452,291.467,145
602,4682,836.675,296.12,95
603,4685,830.628,266.891,250
604,4695,785.231,309.162,265
605,4701,790.331,285.803,215
606,4708,613.083,430.419,95
607,4712,461.349,442.041,195
608,4718,442.119,439.568,120
609,4722,564.791,370.326,95
610,4725,566.475,366.679,110
611,4728,509.262,359.3,155
612,4736,1063.028,316.715,95
613,4741,901.079,350.18,160
614,4745,841.826,279.426,345
615,4754,818.344,275.876,701
616,4772,759.489,301.899,590
617,4794,830.726,285.449,210
618,4800,879.227,280.082,285
619,4808,706.17,366.238,355
620,4817,720.412,331.634,125
621,4821,822.192,309.435,195
622,4831,770.771,350.548,150
623,4836,833.537,359.136,430
624,4847,949.772,348.58,340
625,4855,899.659,343.932,240
626,4862,755.807,462.691,315
627,4872,802.948,272.116,140
628,4876,752.579,308.478,375
629,4886,836.523,380.64,155
630,4891,798.199,489.734,205
631,4897,931.453,301.621,285
632,4904,883.988,292.515,200
633,4911,776.594,590.286,170
634,4916,885.503,443.769,150
635,4921,760.896,556.353,165
636,4926,887.367,578.775,115
637,4932,1080.063,322.885,165
638,4940,683.024,285.697,385
639,4951,559.762,333.345,120
640,4956,728.169,260.594,195
641,4961,715.678,186.439,145
642,4972,913.955,235.803,616
643,4988,1027.466,241.343,320
644,4999,736.663,473.454,275
645,5007,817.98,613.082,145
646,5012,852.591,367.39,225
647,5018,781.987,350.262,470
648,5030,702.301,361.293,395
649,5041,643.936,333.361,466
650,5053,631.037,358.64,200
651,5059,985.123,364.811,461
652,5073,893.841,331.909,195
653,5081,932.464,375.284,145
654,5088,937.289,369.63,145
655,5094,897.319,308.273,150
656,5099,628.939,356.455,486
657,5112,836.627,400.896,175
658,5117,1006.263,354.638,210
659,5123,1097.411,327.43,290
660,5133,626.978,311.6,646
661,5149,592.174,341.701,481
662,5162,587.147,365.485,360
663,5171,615.54,376.49,626
664,5187,499.627,405.482,180
665,5193,476.225,342.131,280
666,5201,986.986,349.446,115
667,5208,1073.165,420.464,155
668,5213,1023.135,402.239,225
669,5219,1127.2,439.632,275
670,5231,488.074,339.513,140
671,5236,534.534,333.901,280
672,5245,977.839,566.723,200
673,5251,860.689,443.816,90
674,5257,1216.805,527.806,225
675,5263,1303.388,552.277,85
676,5271,613.979,391.674,130
677,5275,631.301,311.445,190
678,5280,635.888,383.915,160
679,5285,652.419,354.605,200
680,5293,876.919,340.434,90
681,5304,799.66,297.276,110
682,5308,825.012,290.744,120
683,5319,711.588,309.902,200
684,5326,788.998,300.99,90
685,5332,977.143,361.304,95
686,5335,956.177,294.426,410
687,5346,1095.798,300.194,135
688,5352,1148.387,374.261,250
689,5360,960.427,314.806,140
690,5368,810.676,377.691,105
691,5374,1068.771,354.257,290
692,5381,1004.732,384.879,195
693,5387,839.15,449.092,155
694,5392,728.135,341.526,190
695,5398,948.277,334.893,210
696,5407,1018.495,276.379,130
697,5411,1000.077,247.395,190
698,5417,795.905,299.36,761
699,5436,906.438,451.681,385
700,5447,1105.737,261.438,275
701,5454,981.631,196.838,150
702,5459,1082.623,305.281,290
703,5467,821.096,455.433,285
704,5475,1009.144,365.347,185
705,5484,1095.056,311.214,215
706,5490,1050.548,297.667,370
707,5500,1009.767,299.395,260
708,5507,1012.259,335.057,195
709,5512,1011.612,255.119,140
710,5516,997.723,222.478,230
711,5523,807.138,289.596,305
712,5532,768.943,244.064,516
713,5545,850.235,249.915,385
714,5555,705.397,259.156,240
715,5561,739.749,287.901,430
716,5577,841.771,300.489,115
717,5588,1048.977,278.278,190
718,5600,729.543,880.88,100
719,5608,724.361,926.212,125
720,5615,851.952,314.286,320
721,5624,896.876,283.967,290
722,5632,848.249,331.074,225
723,5639,776.272,373.06,80
724,5642,762.344,363.165,150
725,5655,775.027,399.685,495
726,5668,757.285,387.298,150
727,5674,708.378,437.032,130
728,5679,662.152,299.444,140
729,5683,912.125,398.074,265
730,5691,947.977,365.142,190
731,5697,931.642,337.806,195
732,5704,709.64,327.677,260
733,5713,734.792,259.117,115
734,5717,680.209,365.627,240
735,5725,659.005,332.337,150
736,5729,661.281,329.414,380
737,5740,696.763,328.331,115
738,5745,602.149,337.708,170
739,5750,702.92,367.731,110
740,5755,553.22,372.793,210
741,5762,691.721,331.569,135
742,5766,708.734,351.592,85
743,5771,874.789,386.153,370
744,5787,820.817,295.69,420
745,5798,846.45,311.152,325
746,5807,768.017,356.196,310
747,5816,682.575,369.793,195
748,5821,716.705,302.465,155
749,5826,821.085,322.853,290
750,5833,766.951,333.539,440
751,5845,905.415,330.299,100
752,5849,1137.946,375.343,175
753,5854,1080.428,320.359,420
754,5867,1171.914,651.999,125
755,5874,722.077,421.882,210
756,5880,810.167,350.976,150
757,5885,825.943,244.488,120
758,5891,751.317,424.11,90
759,5895,817.347,471.421,305
760,5905,761.527,332.943,185
761,5910,861.259,496.164,170
762,5915,847.899,516.819,100
763,5919,753.33,313.708,195
764,5926,756.902,314.984,185
765,5932,721.472,370.256,215
766,5939,845.994,566.458,325
767,5948,772.021,401.198,160
768,5954,796.77,424.801,190
769,5960,688.013,366.05,140
770,5964,701.324,381.281,210
771,5970,632.023,403.415,170
772,5974,697.701,397.459,225
773,5981,684.904,401.968,110
774,5984,738.081,390.435,636
775,5999,773.822,376.722,175
776,6007,546.707,361.521,105
777,6012,1020.365,312.573,210
778,6018,871.266,235.2,370
779,6030,745.384,329.284,220
780,6037,572.552,447.709,290
781,6047,1253.943,495.346,140
782,6051,962.442,446.363,491
783,6066,507.639,359.015,150
784,6073,1202.24,409.7,155
785,6078,1073.148,354.292,440
786,6090,1236.041,402.524,200
787,6095,1222.651,408.544,145
788,6100,968.314,377.435,135
789,6107,636.006,360.125,185
790,6112,679.666,363.94,155
791,6116,692.615,342.628,140
792,6122,499.089,412.387,195
793,6127,478.753,389.986,140
794,6133,725.079,363.001,480
795,6148,1131.621,415.82,235
796,6155,784.347,327.65,225
797,6163,592.372,338.615,180
798,6169,661.092,382.581,200
799,6175,469.62,383.624,120
800,6179,512.584,376.644,155
801,6184,439.572,394.684,185
802,6195,1080.818,398.328,540
803,6209,1116.104,373.42,466
804,6221,860.161,338.848,290
805,6229,822.761,334.09,130
806,6234,1155.365,347.983,110
807,6238,1054.533,324.556,520
808,6251,1189.618,343.047,956
809,6275,1345.74,351.731,80
810,6279,1290.852,380.732,80
811,6282,1146.08,405.928,135
812,6286,1074.288,379.463,75
813,6294,593.615,337.066,145
814,6298,778.572,381.107,275
815,6306,723.84,368.301,155
816,6312,532.823,416.561,180
817,6317,519.536,427.419,155
818,6323,943.54,322.25,130
819,6329,1109.475,409.856,145
820,6335,1120.708,381.126,75
821,6338,1127.894,360.689,646
822,6359,556.698,345.463,210
823,6365,702.771,362.074,325
824,6374,928.735,292.748,200
825,6379,870.566,313.292,90
826,6385,1158.936,447.886,260
827,6396,1225.889,479.639,125
828,6401,1323.759,511.316,250
829,6410,837.257,320.242,290
830,6420,626.653,325.575,125
831,6424,763.982,304.148,90
832,6429,540.971,435.391,325
833,6437,579.599,396.394,80
834,6443,1121.596,312.729,200
835,6448,1041.564,306.683,120
836,6452,1045.917,300.755,130
837,6457,843.503,290.284,135
838,6462,887.399,257.421,115
839,6465,1003.426,232.762,330
840,6473,1012.593,254.464,125
841,6477,1152.69,263.292,255
842,6485,855.478,240.375,170
843,6492,1215.645,484.432,220
844,6499,864.666,406.41,190
845,6504,794.735,383.619,125
846,6508,991.968,349.946,330
847,6517,1006.107,342.865,230
848,6530,772.867,251.779,85
849,6538,793.236,307.253,270
850,6545,809.904,352.195,110
851,6548,780.555,390.583,225
852,6555,904.456,310.566,165
853,6563,823.909,457.978,115
854,6567,749.896,381.728,260
855,6574,801.349,373.778,220
856,6581,497.896,359.397,130
857,6585,539.006,349.289,200
858,6591,922.074,321.599,630
859,6608,819.834,348.48,145
860,6613,651.81,335.788,866
861,6635,811.626,326.658,220
862,6641,751.248,307.053,190
863,6648,728.386,271.301,230
864,6655,678.828,300.562,195
865,6660,511.712,345.658,165
866,6665,577.044,324.907,230
867,6674,881.355,291.422,446
868,6687,875.836,268.329,375
869,6697,845.782,284.082,175
870,6702,689.556,317.906,235
871,6709,906.964,288.161,646
872,6726,677.0,304.129,270
873,6734,899.693,296.876,345
874,6743,881.472,295.57,150
875,6748,1174.824,364.618,150
876,6753,851.317,303.378,440
877,6765,809.303,295.194,265
878,6772,739.153,292.905,355
879,6782,720.284,272.758,330
880,6790,679.411,313.695,240
881,6797,614.787,338.127,250
882,6805,963.435,360.736,235
883,6811,859.544,348.299,200
884,6816,822.336,333.204,411
885,6827,996.293,316.555,340
886,6837,687.898,302.13,150
887,6842,649.355,333.008,390
888,6853,1089.25,322.719,175
889,6858,965.677,313.798,215
890,6864,937.566,310.475,265
891,6872,1107.355,303.161,110
892,6876,771.951,290.864,330
893,6886,647.455,525.687,140
894,6890,614.551,383.326,165
895,6896,533.685,343.605,240
896,6903,744.371,360.709,105
897,6907,1037.91,231.893,135
898,6910,856.337,217.883,225
899,6917,626.199,271.174,165
900,6922,647.029,315.107,135
901,6929,774.746,430.722,170
902,6934,692.862,264.211,230
903,6940,760.71,245.848,130
904,6946,1248.545,273.969,115
905,6949,1207.984,259.207,180
906,6955,752.305,226.675,200
907,6961,757.064,232.956,85
908,6966,492.274,346.585,165
909,6970,465.208,377.004,205
910,6976,371.704,317.653,105
911,6982,936.731,282.439,220
912,6989,1010.535,316.063,125
913,6993,1017.881,272.247,180
914,6999,739.266,248.043,395
915,7009,778.328,256.796,100
916,7012,934.506,276.3,325
917,7021,836.363,268.888,550
918,7036,956.419,299.087,160
919,7040,975.851,260.349,235
920,7048,726.651,227.384,350
921,7057,876.094,260.167,165
922,7065,1072.778,304.022,150
923,7070,1129.476,318.244,656
924,7086,1021.41,321.07,140
925,7091,792.522,344.432,315
